method,baseline,dataset,k,metric,expected_seed_count,available_count,missing_count,seeds_available,seeds_missing,source_files,note
ER,ER,ember,100,weighted_f1,5,5,0,42;43;44;45;46,,result_external_baselines/ER/EMBER/K=100/seed=42/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=43/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=44/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=45/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=46/full-result.json,external seed-level rows found
ER,ER,ember,100,balanced_accuracy,5,5,0,42;43;44;45;46,,result_external_baselines/ER/EMBER/K=100/seed=42/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=43/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=44/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=45/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=46/full-result.json,external seed-level rows found
ER,ER,ember,100,old_class_accuracy,5,0,5,,42;43;44;45;46,result_external_baselines/ER/EMBER/K=100/seed=42/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=43/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=44/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=45/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=46/full-result.json,external seed-level rows found
ER,ER,ember,100,new_class_accuracy,5,0,5,,42;43;44;45;46,result_external_baselines/ER/EMBER/K=100/seed=42/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=43/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=44/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=45/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=46/full-result.json,external seed-level rows found
ER,ER,ember,100,memory_MB,5,5,0,42;43;44;45;46,,result_external_baselines/ER/EMBER/K=100/seed=42/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=43/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=44/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=45/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=46/full-result.json,external seed-level rows found
ER,ER,ember,100,model_memory_MB,5,5,0,42;43;44;45;46,,result_external_baselines/ER/EMBER/K=100/seed=42/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=43/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=44/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=45/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=46/full-result.json,external seed-level rows found
DERPP,DERPP,ember,100,mean_acc_seen,5,5,0,42;43;44;45;46,,result_external_baselines/DERPP/EMBER/K=100/seed=42/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=43/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=44/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=45/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=46/full-result.json,external seed-level rows found
DERPP,DERPP,ember,100,final_taskwise_average_accuracy,5,5,0,42;43;44;45;46,,result_external_baselines/DERPP/EMBER/K=100/seed=42/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=43/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=44/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=45/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=46/full-result.json,external seed-level rows found
DERPP,DERPP,ember,100,forgetting,5,5,0,42;43;44;45;46,,result_external_baselines/DERPP/EMBER/K=100/seed=42/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=43/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=44/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=45/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=46/full-result.json,external seed-level rows found
DERPP,DERPP,ember,100,macro_f1,5,5,0,42;43;44;45;46,,result_external_baselines/DERPP/EMBER/K=100/seed=42/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=43/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=44/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=45/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=46/full-result.json,external seed-level rows found
